266,266,263,264,263,263,263,263,262,261,258,256,259,263,262,264,268,266,264,262,258,262,263,259,258,259,259,254,254,257,260,252,258,262,262,270,270,272,272,274,270,272,275,275,274,274,271,270,271,271,271,272,270,266
595,574,582,577,569,552,637,629,628,614,602,598,608,625,602,592,601,604,593,600,583,605,599,581,581,591,591,579,566,584,572,539,547,560,572,567,557,562,538,526,530,539,552,540,552,541,540,535,528,537,546,541,544,530
2493,2500,2507,2532,2499,2498,2514,2521,2560,2521,2423,2362,2434,2464,2465,2432,2418,2446,2448,2401,2356,2395,2371,2339,2298,2321,2283,2211,2174,2165,2140,2029,2099,2152,2172,2242,2218,2212,2211,2198,2197,2232,2224,2230,2285,2278,2267,2221,2236,2280,2281,2291,2293,2302
119,120,120,121,121,121,123,122,120,119,120,120,122,122,121,122,124,124,124,123,121,125,124,122,121,122,120,119,118,118,122,119,120,119,120,122,119,121,121,123,124,124,123,123,124,123,121,117,116,118,116,113,112,111
1076,1081,1071,1066,1076,1053,1044,1042,1040,1019,1025,1030,1060,1062,1056,1081,1077,1075,1061,1054,1042,1045,1041,1030,1022,1009,1014,999,998,998,997,1000,1013,1011,1015,1014,1001,1007,1019,998,998,996,1003,995,999,987,991,986,992,996,1000,998,1000,1000
2820,2818,2850,2865,2819,2842,2820,2768,2747,2695,2721,2698,2769,2767,2747,2728,2760,2758,2673,2648,2583,2630,2652,2620,2624,2691,2778,2728,2800,2802,2889,2802,2859,2927,2910,2891,2855,2791,2761,2727,2687,2713,2706,2687,2685,2653,2638,2532,2560,2609,2567,2686,2759,2736
1957,1943,1965,1972,1941,2050,2092,2122,2108,2072,2061,2065,2128,2143,2088,2093,2139,2092,2073,2079,2043,2093,2120,2089,2092,2106,2134,2101,2114,2128,2180,2181,2226,2212,2234,2258,2203,2190,2148,2077,2050,2085,2134,2134,2150,2157,2113,2083,2069,2084,2041,2006,1999,1991
513,513,518,512,529,521,521,519,502,517,530,565,540,550,520,518,520,510,492,503,520,550,542,571,531,583,579,571,576,570,580,562,570,562,550,550,550,550
2200,2200,2170,2172,2195,2180,2166,2180,2179,2181,2200,2196,2251,2257,2255,2315,2705,2633,2618,2654,2499,2500,2458,2380,2350,2326,2300,2355,2409,2428,2478,2412,2460,2455,2385,2380,2323,2336,2348,2313,2300,2285,2283,2260,2256,2290,2355,2338,2350,2291,2290,2299
991,990,1050,1063,1011,1060,1060,1040,1000,1030,1034,1000,1020,1040,990,989,1000,999,1000,940,934,941,982,992,1000,1000,980,935,995,925,970,933,900,874
900,898,895,900,894,894,895,905,910,904,890,950,910,908,940,893,893,900,903,886,895,889,900,900,896,898,893,885,925,871,901,915,915,918,918,935,930,920,920,930,930,922,944,945,910,910,930,930,918,900,902
995,994,992,1007,985,1008,1060,1082,1088,1075,1070,1041,1056,1088,1086,1114,1125,1147,1073,1068,1077,1080,1046,960,946,930,918,932,932,901,936,911,978,907,924,944,948,942,930,901,895,896,906,903,910,904,894,889,921,899,908,919,882,862
